date,bitcoin,covid
20200826,11378.72603,32883
20200827,11458.8226,37030
20200828,11302.12096,45484
20200829,11482.22569,46194
20200830,11515.04443,44002
20200831,11657.00393,43983
20200901,11678.37326,37068
20200902,11964.20867,31808
20200903,11427.7026,42662
20200904,10712.92065,39402
20200905,10563.89694,44563
20200906,10042.85485,49131
20200907,10207.605,45350
20200908,10381.77611,33486
20200909,10043.19644,26015
20200910,10268.46092,23204
20200911,10341.01598,31988
20200912,10380.5396,37128
20200913,10436.36541,45523
20200914,10313.06858,40126
20200915,10680.29756,35177
